year,artist,song,popularity
2010,B.o.B,"Magic (feat. Rivers Cuomo)",65
2012,"Katy Perry",E.T.,65
2011,Nickelback,"When We Stand Together",65
2011,"Britney Spears","Till the World Ends",65
2011,"Kelly Rowland",Motivation,65
2011,"Swedish House Mafia","Save The World",65
1999,Anastacia,"I'm Outta Love - Radio Edit",64
1999,"Gigi D'Agostino","The Riddle",64
2000,"Mary Mary","Shackles (Praise You)",64
1999,"CÃ©line Dion","That's the Way It Is",64
1999,Creed,"With Arms Wide Open",64
1999,"Christina Aguilera","Come on over Baby (All I Want Is You) - Radio Version",64
2001,"Michael Jackson","You Rock My World",64
2001,"Destiny's Child",Bootylicious,64
2001,"Ja Rule","Livin' It Up",64
2001,Staind,"It's Been Awhile",64
2001,Shakira,"Underneath Your Clothes",64
2002,Tweet,"Oops (Oh My) [feat. Missy Elliott]",64
2002,"Big Tymers","Still Fly",64
2001,"Robbie Williams","Somethin' Stupid",64
2001,"Puddle Of Mudd",Blurry,64
2003,Monica,"So Gone",64
2004,U2,Vertigo,64
2004,Eamon,"Fuck It (I Don't Want You Back)",64
2003,JUVENILE,"Slow Motion",64
2005,Sugababes,"Push The Button",64
2006,"Take That",Patience,64
2006,T.I.,"What You Know",64
2005,"Mary J. Blige",One,64
2005,"KT Tunstall","Black Horse And The Cherry Tree",64
2006,"James Morrison","You Give Me Something",64
2007,BeyoncÃ©,"Beautiful Liar",64
2006,"Take That",Patience,64
2006,Fergie,Glamorous,64
2007,"J. Holiday",Bed,64
2007,"Britney Spears","Piece of Me",64
2008,"The Pussycat Dolls","I Hate This Part",64
2007,"Mary J. Blige","Just Fine",64
2007,"Lupe Fiasco","Superstar (feat. Matthew Santos)",64
2009,Rihanna,"Russian Roulette",64
2008,"The Pussycat Dolls","I Hate This Part",64
2009,Kasabian,Fire,64
2009,"Boys Like Girls","Love Drunk",64
2008,Ne-Yo,Mad,64
2010,"Neon Trees",Animal,64
2010,"The Band Perry","If I Die Young",64
1999,"Donell Jones","U Know What's Up (feat. Lisa "Left Eye"" Lopes)"",63
2001,Blue,"All Rise",63
2001,112,"Peaches & Cream",63
2001,"S Club 7","Don't Stop Movin'",63
2001,JAY-Z,"Izzo (H.O.V.A.)",63
2005,Diddy,"I Need a Girl (Pt. 1) [feat. Usher & Loon]",63
2002,"DJ Sammy",Heaven,63
2003,BeyoncÃ©,"Baby Boy (feat. Sean Paul)",63
2002,"The Roots","The Seed (2.0)",63
2002,"Matchbox Twenty",Unwell,63
2003,"Wayne Wonder","No Letting Go",63
2003,BeyoncÃ©,"Naughty Girl",63
2003,Kelis,"Trick Me",63
2004,T.I.,"Bring Em Out",63
2003,"Britney Spears",Everytime,63
2005,"The Chemical Brothers",Galvanize,63
2005,D4L,"Laffy Taffy",63
2005,"Backstreet Boys",Incomplete,63
2005,"Pretty Ricky","Grind With Me",63
2004,"Destiny's Child","Soldier (feat. T.I. & Lil' Wayne)",63
2005,"Kaiser Chiefs","I Predict A Riot",63
2005,"Chris Brown","Gimme That",63
2006,E-40,"U and Dat (feat. T. Pain & Kandi Girl)",63
2005,D4L,"Laffy Taffy",63
2006,"Amy Winehouse","You Know I'm No Good",63
2006,"Scissor Sisters","I Don't Feel Like Dancin'",63
2006,"Christina Aguilera","Ain't No Other Man",63
2006,Fergie,Fergalicious,63
2008,Basshunter,"Now You're Gone - Video Edit",63
2009,"Alexandra Burke",Hallelujah,63
2008,Coldplay,"Violet Hill",63
2009,Pitbull,"Hotel Room Service",63
2009,Cascada,"Evacuate The Dancefloor",63
2009,Eminem,"We Made You",63
2009,"Selena Gomez & The Scene",Naturally,63
2010,"DJ Fresh","Gold Dust - Radio Edit",63
2010,"Swedish House Mafia","One (Your Name) - Radio Edit",63
2010,"Enrique Iglesias","I Like It",63
2010,Ludacris,"How Low",63
2010,Example,Kickstarts,63
2010,"Enrique Iglesias","Tonight (I'm Fuckin' You)",63
2011,"Jason Derulo","Don't Wanna Go Home",63
1999,Sting,"Desert Rose",62
2000,Sonique,"It Feels So Good",62
2000,"All Saints","Pure Shores",62
2001,"Geri Halliwell","It's Raining Men",62
2001,"Kylie Minogue","In Your Eyes",62
2002,"Sophie Ellis-Bextor","Murder On The Dancefloor",62
2002,"Justin Timberlake","Like I Love You",62
2003,B2K,"Bump, Bump, Bump (feat. P. Diddy)",62
2003,BeyoncÃ©,"Me, Myself and I",62
2005,"Black Eyed Peas","Don't Phunk With My Heart",62
2005,"Ray J","One Wish",62
2005,"Bow Wow","Let Me Hold You (feat. Omarion)",62
2004,"Ryan Cabrera",True,62
2006,Chingy,"Pullin' Me Back",62
2006,Ludacris,"Money Maker",62
2005,"Bubba Sparxxx","Ms. New Booty",62
2007,Lloyd,"Get It Shawty",62
2007,Fabolous,"Make Me Better",62
2007,"Maroon 5","Makes Me Wonder",62
2007,"Boys Like Girls","The Great Escape",62
2008,"Natasha Bedingfield","Pocketful of Sunshine",62
2007,The-Dream,"I Luv Your Girl",62
2007,"Leona Lewis",Run,62
2007,"Trey Songz","Can't Help but Wait",62
2008,Nickelback,"Gotta Be Somebody",62
2009,The-Dream,"Rockin' That Shit",62
2009,"Asher Roth","I Love College",62
2010,"David Guetta","Gettin' Over You (feat. Fergie & LMFAO)",62
2010,3OH!3,"My First Kiss (feat. Ke$ha)",62
2010,"Plan B","She Said",62
2012,Labrinth,"Earthquake (feat. Tinie Tempah)",62
2011,"Nicole Scherzinger","Don't Hold Your Breath",62
1999,"Melanie C","Never Be The Same Again",61
2001,"LeAnn Rimes","I Need You",61
1999,"Christina Aguilera","I Turn to You",61
2001,"Mary J. Blige","No More Drama",61
2001,"The Supermen Lovers","Starlight - Radio Edit",61
2000,Lifehouse,"Hanging By A Moment",61
2001,"Britney Spears","Overprotected - Radio Edit",61
2002,Ashanti,Happy,61
2003,"Panjabi MC","Mundian to Bach Ke",61
2002,"Christina Aguilera","Can't Hold Us Down (feat. Lil' Kim)",61
2003,Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",61
2002,Nelly,"Air Force Ones",61
2002,"Sean Paul","Like Glue",61
2003,Chingy,"Holidae In",61
2003,Fabolous,"Can't Let You Go (feat. Mike Shorey & Lil' Mo)",61
2002,"Ja Rule",Mesmerize,61
2003,Switchfoot,"Meant to Live",61
2004,"Lloyd Banks","On Fire",61
2004,"Destiny's Child","Lose My Breath",61
2004,"Avril Lavigne","Nobody's Home",61
2003,"Ying Yang Twins","Salt Shaker",61
2003,Chingy,"One Call Away",61
2003,G-Unit,"Wanna Get To Know You",61
2004,"Special D.","Come With Me - Radio Edit",61
2003,"Alicia Keys","You Don't Know My Name",61
2004,Ciara,"Oh (feat. Ludacris)",61
2005,"Kanye West","Diamonds From Sierra Leone - Remix",61
2005,"Franz Ferdinand","Do You Want To",61
2005,"Black Eyed Peas","Don't Lie",61
2004,Usher,"Caught Up",61
2004,Nelly,"Over And Over",61
2006,"Busta Rhymes","Touch It",61
2005,Madonna,Sorry,61
2006,"Sandi Thom","I Wish I Was a Punk Rocker (with Flowers in My Hair)",61
2007,"Shop Boyz","Party Like A Rock Star",61
2007,Plies,"Shawty (feat. T Pain)",61
2007,"Bone Thugs-N-Harmony","I Tried",61
2007,"Britney Spears","Break the Ice",61
2008,"Colby O'Donis","What You Got",61
2008,Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",61
2009,"Black Eyed Peas","Imma Be",61
2010,Kesha,"Blah Blah Blah (feat. 3OH!3)",61
2010,"The Saturdays",Higher,61
2010,"Taio Cruz",Higher,61
2011,"Olly Murs","Heart Skips a Beat (feat. Rizzle Kicks)",61
2010,"Far East Movement",Rocketeer,61
2000,"Ricky Martin","She Bangs - English Version",60
1999,Sisqo,Incomplete,60
2000,"Craig David","Fill Me In",60
2000,*NSYNC,"It's Gonna Be Me",60
2001,Gabrielle,Rise,60
2001,"Christina Milian","AM To PM",60
2000,"Craig David","Fill Me In",60
2001,"S Club 7","Have You Ever",60
2001,"Faith Hill","There You'll Be",60
2001,Gabrielle,Rise,60
2001,"Christina Milian","When You Look At Me - Radio Edit",60
2003,"Marilyn Manson","Tainted Love",60
2002,Blue,"One Love",60
2002,"Ronan Keating","If Tomorrow Never Comes",60
2002,"Elvis Presley","A Little Less Conversation - JXL Radio Edit Remix",60
2001,Ludacris,"Rollout (My Business)",60
2001,"Michelle Branch","All You Wanted",60
2001,P!nk,"Don't Let Me Get Me - Radio Edit",60
2003,"Girls Aloud",Jump,60
2002,Tyrese,"How You Gonna Act Like That",60
2003,"No Doubt","It's My Life",60
2002,"Jennifer Lopez","All I Have (feat. LL Cool J)",60
2004,"Gwen Stefani","What You Waiting For?",60
2003,"No Doubt","It's My Life",60
2005,"50 Cent","Outta Control - Remix",60
2005,"Katie Melua","Nine Million Bicycles",60
2004,"Papa Roach",Scars,60
2005,Nelly,Grillz,60
2006,"Dem Franchize Boyz","Lean Wit It, Rock Wit It",60
2007,"Keyshia Cole","Last Night",60
2008,"The Game","My Life",60
2008,"Jennifer Hudson",Spotlight,60
2011,"Dizzee Rascal",Holiday,60
2010,Usher,"Hey Daddy (Daddy's Home)",60
2011,"Chase & Status","Blind Faith",60
1999,"Montell Jordan","Get It On Tonite",59
2000,MÃ½a,"Case Of The Ex (Whatcha Gonna Do)",59
2000,JAY-Z,"I Just Wanna Love U (Give It 2 Me)",59
1999,"Mariah Carey","Thank God I Found You (feat. Joe & 98Â°)",59
2000,"Ronan Keating","Life Is A Rollercoaster",59
2001,"Trick Daddy","I'm a Thug",59
2002,Sugababes,"Round Round",59
2001,"CÃ©line Dion","A New Day Has Come - Radio Remix",59
2002,"Disturbing Tha Peace","Move Bitch",59
2015,Khia,"My Neck, My Back (Lick It)",59
2002,"Sean Paul","Gimme the Light",59
2001,Usher,"U Don't Have to Call",59
2004,Mis-Teeq,"Scandalous - U.S. Radio Edit",59
2002,"Craig David","Rise & Fall (feat. Sting)",59
2003,"Britney Spears","Me Against the Music (feat. Madonna) - LP Version / Video Mix",59
2003,Ultrabeat,"Pretty Green Eyes - Radio Edit",59
2003,Ginuwine,"In Those Jeans",59
2004,Houston,"I Like That",59
2001,J-Kwon,"Tipsy - Club Mix",59
2004,Lloyd,Southside,59
2004,LMC,"Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit",59
2004,"Girls Aloud","Love Machine",59
2005,"Sean Paul","We Be Burnin'",59
2004,Ludacris,"Get Back",59
2005,"Pretty Ricky","Your Body",59
2004,"Kelly Clarkson","Behind These Hazel Eyes",59
2004,"Gwen Stefani",Cool,59
2006,Ciara,"Get Up (feat. Chamillionaire)",59
2006,Keane,"Is It Any Wonder?",59
2006,Razorlight,"In The Morning",59
2007,"Gym Class Heroes","Cupid's Chokehold / Breakfast in America - Radio Mix",59
2006,"Fat Joe","Make It Rain",59
2007,MiMS,"This Is Why I'm Hot",59
2006,"Baby Boy Da Prince","The Way I Live - Main Explicit",59
2017,T2,"Heartbroken - Edit",59
2008,Wiley,"Wearing My Rolex - Radio Edit",59
2007,OneRepublic,"Stop And Stare",59
2009,Pitbull,"I Know You Want Me (Calle Ocho)",59
2008,"Soulja Boy","Turn My Swag On",59
2009,"Tinchy Stryder","Number 1",59
2009,Fabolous,"Throw It In The Bag",59
2009,"La Roux","In For The Kill",59
2011,"Kelly Rowland",Commander,59
2011,"Rizzle Kicks","Down With The Trumpets",59
2000,Madonna,Music,58
1999,"Britney Spears","Born to Make You Happy",58
2010,"DJ Ã–tzi","Hey Baby (Radio Mix)",58
2000,Madonna,"American Pie",58
2000,Vengaboys,"Shalala Lala",58
2001,Blue,"If You Come Back",58
2001,"Atomic Kitten","Eternal Flame - Single Version",58
2000,"Ronan Keating","Lovin' Each Day",58
2002,"Truth Hurts",Addictive,58
2002,Eve,"Gangsta Lovin'",58
2002,"Musiq Soulchild",Halfcrazy,58
2002,N.O.R.E.,Nothin',58
2001,"Britney Spears","I'm Not a Girl, Not Yet a Woman",58
2002,"Daniel Bedingfield","If You're Not The One",58
2008,"Simply Red",Sunrise,58
2003,"Girls Aloud","Sound Of The Underground",58
2003,Sugababes,"Too Lost In You",58
2002,Nas,"I Can",58
2002,"Daniel Bedingfield","If You're Not The One",58
2003,Sugababes,"Too Lost In You",58
2004,"Avril Lavigne","Don't Tell Me",58
2004,"The Streets","Fit but You Know It",58
2005,"Robbie Williams",Tripping,58
2005,"Kaiser Chiefs","Everyday I Love You Less And Less",58
2004,"Destiny's Child","Cater 2 U",58
2006,"Sean Paul","(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version",58
2006,Akon,"Smack That",58
2007,"Keyshia Cole","Let It Go",58
2007,"Elliott Yamin","Wait for You",58
2007,"Take That","Rule The World - Radio Edit",58
2008,"Lil Wayne","Got Money",58
2007,"J. Holiday","Suffocate - Superclean",58
2006,Fergie,Clumsy,58
2009,Ciara,"Love Sex Magic (feat. Justin Timberlake)",58
2005,"The Veronicas",Untouched,58
2010,"Waka Flocka Flame","No Hands (feat. Roscoe Dash & Wale)",58
2000,Mystikal,"Shake Ya Ass",57
1999,"Donell Jones","Where I Wanna Be",57
2001,"Missy Elliott","One Minute Man (feat. Ludacris)",57
2001,112,"It's Over Now",57
2000,Joe,"Stutter (feat. Mystikal) - Double Take Remix",57
2001,"Jennifer Lopez",Play,57
2001,2Pac,"Until The End Of Time",57
2001,"Erick Sermon","Music (feat. Marvin Gaye)",57
2002,"Alanis Morissette","Hands Clean",57
2003,Sugababes,"Hole In The Head",57
2004,Blue,"Sorry Seems To Be The Hardest Word",57
2003,"Room 5","Make Luv",57
2003,"50 Cent","Wanksta - From "8 Mile"" Soundtrack"",57
2002,"Missy Elliott","Gossip Folks (feat. Ludacris)",57
2002,Floetry,"Say Yes",57
2003,Ludacris,"Stand Up",57
2003,Westlife,Mandy,57
2004,"George Michael",Amazing,57
2004,D12,"How Come",57
2004,N.E.R.D,"She Wants To Move",57
2004,Nelly,"My Place",57
2003,Kelis,Millionaire,57
2003,"Jessica Simpson","With You",57
2005,"Ying Yang Twins","Wait (The Whisper Song)",57
2004,Infernal,"From Paris to Berlin",57
2005,"The Pussycat Dolls",Beep,57
2006,Fergie,"London Bridge",57
2007,BeyoncÃ©,"Deja Vu (feat. Jay-Z)",57
2007,"Leona Lewis","A Moment Like This",57
2007,"Calvin Harris","Acceptable in the 80's",57
2006,Omarion,"Ice Box",57
2007,"Pretty Ricky","On the Hotline - Amended Version",57
2006,"Justin Timberlake","LoveStoned / I Think She Knows (Interlude)",57
2006,"Bow Wow","Outta My System (feat. T-Pain & JohntÃ¡ Austin)",57
2007,"Rich Boy","Throw Some D's",57
2006,MIKA,"Love Today",57
2008,Madonna,"Give It 2 Me",57
2008,Pendulum,"Propane Nightmares",57
2008,"Danity Kane",Damaged,57
2007,Santana,"Into the Night (feat. Chad Kroeger)",57
2009,"The Prodigy",Omen,57
2009,"Alexandra Burke","Bad Boys (feat. Flo Rida)",57
2009,"Jordin Sparks",Battlefield,57
2009,"Keri Hilson","Knock You Down",57
2010,Ne-Yo,"Beautiful Monster",57
2010,"Tinie Tempah","Written in the Stars (feat. Eric Turner)",57
2009,"Adam Lambert","Whataya Want from Me",57
2009,K'NAAN,"Wavin' Flag",57
2010,"Take That","The Flood",57
2010,Drake,Over,57
2011,"Jessie J","Do It Like A Dude",57
1999,"Eiffel 65","Move Your Body - Gabry Ponte Original Radio Edit",56
1999,"Madison Avenue","Don't Call Me Baby",56
1999,"Marc Anthony","You Sang To Me",56
2000,"Jagged Edge",Promise,56
2001,"Sunshine Anderson","Heard It All Before",56
2000,OPM,"Heaven Is a Halfpipe (If I Die)",56
2000,3LW,"No More (Baby I'ma Do Right)",56
2002,"Daniel Bedingfield","Gotta Get Thru This - D'N'D Radio Edit",56
2002,"The Goo Goo Dolls","Here Is Gone",56
2001,"Enrique Iglesias",Escape,56
2003,"Black Eyed Peas","Shut Up",56
2002,JAY-Z,"Excuse Me Miss",56
2004,O-Zone,"Dragostea Din Tei",56
1999,Anastacia,"Sick and Tired",56
2004,Ashanti,"Only U - No Intro",56
2004,"LL Cool J",Headsprung,56
2003,"Petey Pablo",Freek-A-Leek,56
2003,Avant,"Read Your Mind",56
2004,Twista,"Sunshine (feat. Anthony Hamilton)",56
2004,"Ashlee Simpson","Pieces Of Me",56
2005,"Rob Thomas","Lonely No More",56
2005,"Craig David","Don't Love You No More (I'm Sorry)",56
2004,U2,"Sometimes You Can't Make It On Your Own",56
2006,Jibbs,"Chain Hang Low",56
2006,"The Raconteurs","Steady, As She Goes",56
2006,Ciara,Promise,56
2007,"Wyclef Jean","Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",56
2007,"Snoop Dogg","Sensual Seduction",56
2008,"Gabriella Cilmi","Sweet About Me",56
2007,"Jack White","Another Way to Die",56
2008,"3 Doors Down","It's Not My Time",56
2007,"Jordin Sparks","One Step At a Time",56
2009,"Kelly Clarkson","Already Gone",56
2010,Drake,"Find Your Love",56
2000,"Bomfunk MC's",Freestyler,55
2000,"Kylie Minogue","Spinning Around",55
2000,Avant,Separated,55
2000,"Jagged Edge","He Can't Love U",55
2000,Sammie,"I Like It",55
2000,Kandi,"Don't Think I'm Not",55
2000,P!nk,"There You Go",55
2001,Case,"Missing You",55
2001,"Busta Rhymes","Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix",55
2000,"Kylie Minogue","Spinning Around",55
2001,"Kylie Minogue","Love at First Sight",55
2002,Ashanti,Baby,55
2002,Jaheim,"Put That Woman First",55
2003,"Will Young","Leave Right Now",55
2003,"Alicia Keys","Diary (feat. Tony! Toni! Tone! & Jermaine Paul)",55
2003,"Katie Melua","The Closest Thing to Crazy",55
2003,"Will Young","Leave Right Now",55
2005,Jeezy,"Soul Survivor",55
2004,"Destiny's Child",Girl,55
2006,Diddy,"Come to Me (feat. Nicole Scherzinger)",55
2007,"The Ting Tings","Shut Up and Let Me Go",55
2008,"John Legend","Green Light (feat. AndrÃ© 3000)",55
2009,"Calvin Harris","I'm Not Alone - Radio Edit",55
2008,"Taylor Swift","You Belong With Me",55
2009,Rihanna,Hard,55
2012,"DJ Fresh","Louder (feat. Sian Evans) - Radio Edit",55
2000,M.O.P.,"Cold as Ice",54
1999,"Melanie C","I Turn To You",54
2000,Moloko,"The Time Is Now",54
1999,"Enrique Iglesias","Be With You",54
1999,"Savage Garden","Crash and Burn",54
2000,"Erykah Badu","Bag Lady",54
2000,"Matchbox Twenty",Bent,54
2006,iio,"Rapture (feat.Nadia Ali)",54
2001,"Emma Bunton","What Took You So Long?",54
2001,"Rui Da Silva","Touch Me (Radio Edit) [feat. Cassandra]",54
2001,"DJ Pied Piper & The Masters Of Ceremonies","Do You Really Like It? - Radio Edit",54
2000,Ludacris,"Southern Hospitality (Featuring Pharrell)",54
2002,"Holly Valance","Kiss Kiss",54
2003,"Delta Goodrem","Born to Try",54
2003,"Delta Goodrem","Lost Without You",54
2003,Youngbloodz,"Damn! (feat. Lil' Jon) - Club Mix",54
2002,"Kelly Rowland",Stole,54
2005,Bodyrockers,"I Like The Way - Radio Edit",54
2004,"Snoop Dogg",Signs,54
2007,"Kanye West",Stronger,54
2008,"Gym Class Heroes","Cookie Jar (feat. The-Dream)",54
2007,"Jordin Sparks",Tattoo,54
2009,"Pixie Lott","Mama Do (Uh Oh, Uh Oh)",54
2009,"Lily Allen","Not Fair",54
2010,Drake,"Best I Ever Had",54
2010,"Swedish House Mafia","Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah",54
2009,"Trey Songz","Say Aah (feat. Fabolous)",54
2010,"Ellie Goulding","Starry Eyed",54
2002,Aaliyah,"Try Again",53
2000,"Da Brat","What'chu Like (feat. Tyrese)",53
2015,Faithless,"We Come 1 - Radio Edit",53
2000,Madonna,"Don't Tell Me",53
2000,Steps,"It's the Way You Make Me Feel",53
2003,Madonna,"Die Another Day",53
2002,"Jennifer Lopez","I'm Gonna Be Alright (feat. Nas)",53
2003,"Gareth Gates","Anyone of Us (Stupid Mistake)",53
2001,"Faith Evans","I Love You",53
2001,A1,"Caught in the Middle",53
2004,"Black Eyed Peas","Let's Get It Started - Spike Mix",53
2004,"Britney Spears","My Prerogative",53
2003,JAY-Z,"Dirt Off Your Shoulder",53
2006,Akon,"I Wanna Love You",53
2007,"Manic Street Preachers","Your Love Alone Is Not Enough (feat. Nina Persson)",53
2008,"Sam Sparro","Black & Gold - Radio Edit",53
2009,"Lily Allen","The Fear",53
2010,"Tinie Tempah","Pass Out",53
2019,"Chris Brown","Beautiful People",53
2000,"Ruff Endz","No More",52
2004,Next,Wifey,52
2000,P!nk,"Most Girls",52
2000,"Carl Thomas","I Wish",52
2008,"Ricky Martin","Nobody Wants to Be Lonely (with Christina Aguilera)",52
2002,Brandy,"Full Moon",52
2001,"Alicia Keys","A Woman's Worth",52
2016,Nelly,"Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster",52
2004,Eminem,"Ass Like That",52
2005,"David Banner",Play,52
2005,Ciara,"1, 2 Step (feat. Missy Elliott) - Main",52
2008,Amerie,"1 Thing",52
2005,"Natalie Imbruglia",Shiver,52
2012,"3 Doors Down","Let Me Go",52
2006,Huey,"Pop, Lock & Drop It - Video Edit",52
2006,Akon,"Don't Matter",52
2006,"Just Jack","Starz In Their Eyes",52
2007,"Kanye West","Flashing Lights",52
2017,"Scouting For Girls","This Ain't a Love Song",52
2001,"So Solid Crew","21 Seconds",51
2001,Outkast,"The Whole World (feat. Killer Mike)",51
2004,"DJ Casper","Cha Cha Slide - Hardino Mix",51
2006,Ludacris,"Runaway Love",51
2008,"Alesha Dixon","The Boy Does Nothing",51
2008,"The Ting Tings","That's Not My Name",51
2008,"Gavin DeGraw","In Love With a Girl",51
2009,Mario,"Break Up",51
2010,"DJ Khaled","All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",51
2009,"Kris Allen","Live Like We're Dying",51
2011,"Lykke Li","I Follow Rivers - The Magician Remix",51
2002,Brandy,"Another Day in Paradise - R&B-Version",50
2001,Fragma,"Everytime You Need Me - Radio Version",50
2000,"Roger Sanchez","Another Chance",50
2001,*NSYNC,Girlfriend,50
2003,"Counting Crows","Big Yellow Taxi",50
2003,Ashanti,"Rain On Me",50
2004,Trillville,"Some Cut",50
2003,"Alicia Keys",Karma,50
2006,Kelis,Bossy,50
2009,"Jason Aldean","Big Green Tractor",50
2000,"Debelah Morgan","Dance with Me",49
1998,"Missy Elliott","Hot Boyz",49
2000,Fuel,"Hemorrhage (In My Hands)",49
2001,"Missy Elliott","4 My People (feat. Eve)",49
2002,B2K,"Uh Huh",49
2009,"Fatman Scoop","Be Faithful",49
2003,"Frankie J","Don't Wanna Try",49
2003,"Black Eyed Peas","Hey Mama",49
2005,JoJo,"Leave (Get Out) - Radio Edit",49
2005,"Bob Sinclar","Love Generation - Radio Edit",49
2012,"Girls Aloud","Something Kinda Ooooh",49
2006,"James Morrison","Wonderful World",49
